Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
Nicki Sterling[5],26,"Hurst, Texas",Dental Hygienist,9,16,0,28
Kacie Boguskie[8],24,"Clarksville, Tennessee",Administrative Assistant,8,16,0,28
Emily O'Brien[9],27,"Chapel Hill, North Carolina",PhD Student,7,16,0,28
Rachel Truehart[10],27,"Southampton, Massachusetts",Fashion Sales Representative,7,16,0,28
Jamie Otis[11],25,"Dryden, New York",Registered Nurse,6,16,0,28
Casey Shteamer[12],26,"Leawood, Kansas",Trading Clerk,6,16,0,28
Blakeley Jones [9],34,"Rutherfordton, North Carolina",VIP Cocktail Waitress,6,16,0,28
Jennifer Fritsch[12],28,"Cache, Oklahoma",Accountant,5,16,0,28
Elyse Myers[12],24,"Chicago, Illinois",Personal Trainer,5,16,0,28
Monica Spannbauer[13],33,"Yuba, California",Dental Consultant,4,16,0,28
Samantha Levey[14][15],26,"Pittsburgh, Pennsylvania",Advertising Account Manager,4,16,0,28
Erika Uhlig[16],23,"Charlottesville, Virginia",Law Student,3,16,0,28
Jaclyn Swartz[17],27,"Newton, Massachusetts",Advertising Account Manager,3,16,0,28
Brittney Schreiner[5],26,"Colorado Springs, Colorado",Medical Sales Representative,3,16,0,28
Jenna Burke[18][19],27,"Loveland, Ohio",Blogger,2,16,0,28
Shawn Reynolds[20],28,"Cincinnati, Ohio",Financial Advisor,2,16,0,28
Amber Bacon[21],23,"Port Coquitlam, British Columbia",Labor and Delivery Nurse,1,16,0,28
Amber Tierney[22][23],28,"Waverly, Nebraska",Critical Care Nurse,1,16,0,28
Anna Snowball[18][24],25,"Grosse Pointe, Michigan",Student,1,16,0,28
Dianna Martinez[15],30,"San Gabriel, California",Nonprofit Director,1,16,0,28
Holly Johnson[22],34,"Salyersville, Kentucky",Pharmaceutical Sales Representative,1,16,0,28
Lyndsie James[22],29,"London, England",Internet Entrepreneur,1,16,0,28
Shira Astrof[15],35,"Massapequa Park, New York",Actress,1,16,0,28
*Catherine Giudici*[11],26,"*Seattle, Washington*",*Graphic Designer*,11,17,0,29
Lindsay Yenter[12],24,"Fort Leonard Wood, Missouri",Substitute Teacher,10,17,0,29
AshLee Frazier[13],32,"Houston, Texas",Personal Organizer,9,17,0,29
Desiree Hartsock[14],26,"Northglenn, Colorado",Bridal Stylist,8,17,0,29
Lesley Murphy[15],24,"Fort Smith, Arkansas",Political Consultant,7,17,0,29
Tierra LiCausi[16],24,"Las Vegas, Nevada",Leasing Consultant,7,17,0,29
Daniella McBride[17],24,"Belmont, California",Commercial Casting Associate,6,17,0,29
Selma Alameri[18],29,"Borrego Springs, California",Real Estate Dealer,6,17,0,29
Sarah Herron[14][19],26,"Evergreen, Colorado",Advertising Executive,6,17,0,29
Robyn Howard[13][20],24,"Topeka, Kansas",Oil Field Account Manager,5,17,1,29
"Jacqueline ""Jackie"" Parr[21]",25,"Ormond Beach, Florida",Cosmetics Consultant,5,17,0,29
Amanda Meyer[14],26,"Bakersfield, California",Fit Model,4,17,0,29
Leslie Hughes[14],28,"Ruskin, Florida",Poker Dealer,4,17,1,29
"Kristina ""Kristy"" Kaminski[22]",25,"Darien, Wisconsin",Model,3,17,0,29
Taryn Renee Daniels[23],30,"Troutdale, Oregon",Health Club Manager,3,17,0,29
